51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
1, 1, 1, 1, 1, 1, 1, 1
51, 51, 51, 51, 50, 50, 50, 50
51, 51, 51, 51, 50, 50, 50, 50
91, 91, 92, 91, 90, 90, 90, 90
91, 91, 92, 91, 90, 90, 90, 90
