,n,time w/o p,time 0,time 1,time 2,time 3,time 4,space w/o p,space 0,space 1,space 2,space 3,space 4
0,4.0,315.1,316.8,315.94444444444446,315.33576642335765,315.0192307692308,315.0,10.011162799264577,9.689843310109378,9.763472749417774,9.959074045154134,9.943688140280623,9.843030874100226
1,8.0,321.49125,351.1304347826087,327.36641221374043,324.8413001912046,320.27884615384613,320.7368421052632,8.042310230046635,7.596422113169843,7.366764475117403,7.785466430529042,8.072586659294343,7.68532373601752
2,12.0,330.24666666666667,359.0,341.3478260869565,331.2606516290727,327.1320754716981,322.48275862068965,7.367926653805413,7.143702218478861,7.167951978246359,7.438646654223477,7.697620347368283,7.51169914814032
3,16.0,344.875,395.57142857142856,358.2988047808765,345.7204502814259,342.90140845070425,335.1142857142857,7.741709395251746,7.933999259469465,7.50106134011788,7.75246747499858,7.84572873584225,7.653348242334834
4,20.0,351.0175,431.8157894736842,375.5756578947368,351.8692712246431,351.13120567375887,345.02222222222224,8.231127447448824,7.572624102228428,7.760452440676009,7.959267615382905,8.009181828801527,8.27175900395663
5,24.0,362.9295833333333,472.55555555555554,395.010781671159,364.69774718397997,349.9664634146341,336.1034482758621,8.420946877441795,7.38832161387229,7.840300018944318,8.293503647581348,8.248206425089249,8.601903932937638
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
